TEAM,ADJ_SQ,O_SQ,D_SQ,RIM_AND_3_RATE,YEAR
Bellarmine,-0.11,0.96,1.07,0.7940606843,2023
Maine,-0.11,0.91,1.03,0.7938080495,2023
Saint Peter's,-0.11,0.93,1.04,0.7901023891,2023
Bowling Green,-0.11,1.02,1.13,0.7866972477,2023
Lehigh,-0.11,0.96,1.07,0.7680878553,2023
Cal Poly,-0.11,0.89,1.0,0.7490660025,2023
Merrimack,-0.12,0.9,1.02,0.9040097205,2023
North Alabama,-0.12,0.97,1.09,0.8434065934,2023
Western Michigan,-0.12,1.05,1.16,0.8133086876,2023
Illinois St.,-0.12,0.98,1.09,0.8128310771,2023
Maryland Eastern Shore,-0.12,0.89,1.01,0.8104575163,2023
UTSA,-0.12,0.99,1.11,0.7946902655,2023
Southeast Missouri St.,-0.12,0.96,1.08,0.7918287938,2023
Southeastern Louisiana,-0.12,0.99,1.11,0.7759908099,2023
Jackson St.,-0.12,0.92,1.04,0.7650760357,2023
South Dakota,-0.12,1.01,1.13,0.7634342187,2023
Alcorn St.,-0.12,0.93,1.05,0.7229946524,2023
Cal St. Bakersfield,-0.12,0.9,1.03,0.6256067961,2023
North Dakota,-0.13,1.0,1.13,0.8850828729,2023
Tennessee St.,-0.13,0.95,1.08,0.8756692445,2023
Denver,-0.13,1.03,1.16,0.8506815366,2023
Sacred Heart,-0.13,0.93,1.06,0.8407445708,2023
William & Mary,-0.13,0.97,1.1,0.8219339623,2023
Tennessee Tech,-0.13,0.95,1.08,0.8011494253,2023
Charleston Southern,-0.13,1.03,1.16,0.7716814159,2023
Mount St. Mary's,-0.13,0.93,1.05,0.7448747153,2023
Eastern Michigan,-0.13,1.02,1.14,0.7113636364,2023
North Florida,-0.14,1.03,1.16,0.8962485346,2023
Winthrop,-0.14,1.02,1.15,0.8943616332,2023
High Point,-0.14,1.0,1.14,0.8726303318,2023
The Citadel,-0.14,0.98,1.12,0.8725778039,2023
Tennessee Martin,-0.14,0.98,1.12,0.8529748284,2023
Central Arkansas,-0.14,0.97,1.11,0.8516971279,2023
Arkansas Pine Bluff,-0.14,0.89,1.03,0.8439763002,2023
Wagner,-0.14,0.89,1.04,0.7907444668,2023
Central Connecticut,-0.14,0.93,1.07,0.7790821772,2023
UMKC,-0.14,1.01,1.15,0.7703097604,2023
Nebraska Omaha,-0.14,0.99,1.13,0.7190558434,2023
Illinois Chicago,-0.15,0.92,1.07,0.8747826087,2023
American,-0.15,0.94,1.09,0.8245398773,2023
Northeastern,-0.15,0.96,1.11,0.8234604106,2023
VMI,-0.15,0.96,1.11,0.8087719298,2023
Eastern Illinois,-0.15,0.95,1.1,0.7630787733,2023
Alabama A&M,-0.15,0.9,1.04,0.7533923304,2023
Binghamton,-0.15,0.94,1.1,0.7486305539,2023
Monmouth,-0.15,0.93,1.08,0.7428571429,2023
Bethune Cookman,-0.15,0.93,1.08,0.7340974212,2023
Manhattan,-0.16,0.91,1.06,0.8369363805,2023
Loyola MD,-0.16,0.95,1.12,0.8087625814,2023
Elon,-0.16,0.93,1.09,0.8040865385,2023
New Hampshire,-0.16,0.92,1.07,0.7964108911,2023
Austin Peay,-0.16,0.93,1.09,0.7800125707,2023
Cal St. Northridge,-0.16,0.92,1.07,0.7421580928,2023
Bucknell,-0.17,0.95,1.12,0.7928571429,2023
Evansville,-0.17,0.9,1.07,0.7850924918,2023
Little Rock,-0.17,0.96,1.13,0.7098214286,2023
McNeese St.,-0.18,0.98,1.16,0.8254716981,2023
Lindenwood,-0.18,0.93,1.11,0.7919179735,2023
South Carolina St.,-0.18,0.92,1.1,0.7748691099,2023
NJIT,-0.18,0.91,1.09,0.7705202312,2023
Incarnate Word,-0.18,0.92,1.1,0.7633928571,2023
Holy Cross,-0.18,0.91,1.09,0.7606936416,2023
Hampton,-0.18,0.94,1.11,0.7422096317,2023
Chicago St.,-0.19,0.97,1.17,0.8957632818,2023
Texas A&M Commerce,-0.19,0.95,1.15,0.8506063947,2023
Presbyterian,-0.19,0.91,1.1,0.8266919671,2023
St. Francis PA,-0.19,0.95,1.14,0.8038247995,2023
Alabama St.,-0.19,0.91,1.1,0.739476678,2023
Stony Brook,-0.19,0.9,1.08,0.7380368098,2023
Morgan St.,-0.19,0.9,1.1,0.7228840125,2023
Coppin St.,-0.2,0.93,1.13,0.8736724427,2023
Stonehill College,-0.2,0.89,1.1,0.8658614113,2023
Central Michigan,-0.2,0.93,1.13,0.8045685279,2023
New Orleans,-0.2,0.95,1.15,0.78601315,2023
North Carolina A&T,-0.2,0.93,1.13,0.7699208443,2023
Houston Christian,-0.21,1.02,1.22,0.8706528371,2023
Albany,-0.21,0.93,1.14,0.8334314303,2023
Columbia,-0.21,0.89,1.1,0.8194968553,2023
Lamar,-0.21,0.98,1.19,0.7852135118,2023
St. Francis NY,-0.22,0.86,1.08,0.7827208253,2023
Mississippi Valley St.,-0.23,0.87,1.1,0.745984533,2023
Florida A&M,-0.24,0.84,1.08,0.7134711333,2023
Delaware St.,-0.25,0.86,1.11,0.6829113924,2023
IUPUI,-0.26,0.93,1.19,0.7703795893,2023
LIU,-0.27,0.85,1.13,0.7287475665,2023
Hartford,-0.29,0.84,1.12,0.8159463487,2023
Green Bay,-0.29,0.86,1.16,0.7932692308,2023
